MonthYear,Month,Year,Case Type,NYS Total
Jan11,Jan,2011,Low Income,"  71,958 "
Jan11,Jan,2011,TA,"  65,859 "
Jan11,Jan,2011,Total,"  137,817 "
Feb11,Feb,2011,Low Income,"  72,627 "
Feb11,Feb,2011,TA,"  65,018 "
Feb11,Feb,2011,Total,"  137,645 "
Mar11,Mar,2011,Low Income,"  72,118 "
Mar11,Mar,2011,TA,"  64,888 "
Mar11,Mar,2011,Total,"  137,006 "
Apr11,Apr,2011,Low Income,"  72,703 "
Apr11,Apr,2011,TA,"  65,329 "
Apr11,Apr,2011,Total,"  138,032 "
May11,May,2011,Low Income,"  72,845 "
May11,May,2011,TA,"  64,705 "
May11,May,2011,Total,"  137,550 "
Jun11,Jun,2011,Low Income,"  74,670 "
Jun11,Jun,2011,TA,"  66,205 "
Jun11,Jun,2011,Total,"  140,875 "
Jul11,Jul,2011,Low Income,"  70,890 "
Jul11,Jul,2011,TA,"  66,959 "
Jul11,Jul,2011,Total,"  137,849 "
Aug11,Aug,2011,Low Income,"  70,041 "
Aug11,Aug,2011,TA,"  65,855 "
Aug11,Aug,2011,Total,"  135,896 "
Sep11,Sep,2011,Low Income,"  65,870 "
Sep11,Sep,2011,TA,"  66,493 "
Sep11,Sep,2011,Total,"  132,363 "
Oct11,Oct,2011,Low Income,"  66,192 "
Oct11,Oct,2011,TA,"  66,440 "
Oct11,Oct,2011,Total,"  132,632 "
Nov11,Nov,2011,Low Income,"  68,242 "
Nov11,Nov,2011,TA,"  66,958 "
Nov11,Nov,2011,Total,"  135,200 "
Dec11,Dec,2011,Low Income,"  70,347 "
Dec11,Dec,2011,TA,"  66,594 "
Dec11,Dec,2011,Total,"  136,941 "
Jan12,Jan,2012,Low Income,"  69,760 "
Jan12,Jan,2012,TA,"  65,960 "
Jan12,Jan,2012,Total,"  135,720 "
Feb12,Feb,2012,Low Income,"  69,732 "
Feb12,Feb,2012,TA,"  64,731 "
Feb12,Feb,2012,Total,"  134,463 "
Mar12,Mar,2012,Low Income,"  69,460 "
Mar12,Mar,2012,TA,"  65,521 "
Mar12,Mar,2012,Total,"  134,981 "
Apr12,Apr,2012,Low Income,"  70,262 "
Apr12,Apr,2012,TA,"  66,684 "
Apr12,Apr,2012,Total,"  136,946 "
May12,May,2012,Low Income,"  69,249 "
May12,May,2012,TA,"  67,402 "
May12,May,2012,Total,"  136,651 "
Jun12,Jun,2012,Low Income,"  69,957 "
Jun12,Jun,2012,TA,"  67,387 "
Jun12,Jun,2012,Total,"  137,344 "
Jul12,Jul,2012,Low Income,"  67,049 "
Jul12,Jul,2012,TA,"  67,967 "
Jul12,Jul,2012,Total,"  135,016 "
Aug12,Aug,2012,Low Income,"  66,350 "
Aug12,Aug,2012,TA,"  67,692 "
Aug12,Aug,2012,Total,"  133,982 "
Sep12,Sep,2012,Low Income,"  61,143 "
Sep12,Sep,2012,TA,"  67,858 "
Sep12,Sep,2012,Total,"  129,001 "
Oct12,Oct,2012,Low Income,"  57,322 "
Oct12,Oct,2012,TA,"  70,781 "
Oct12,Oct,2012,Total,"  128,103 "
Nov12,Nov,2012,Low Income,"  60,399 "
Nov12,Nov,2012,TA,"  71,297 "
Nov12,Nov,2012,Total,"  131,696 "
Dec12,Dec,2012,Low Income,"  60,764 "
Dec12,Dec,2012,TA,"  71,060 "
Dec12,Dec,2012,Total,"  131,824 "
Jan13,Jan,2013,Low Income,"  60,836 "
Jan13,Jan,2013,TA,"  70,361 "
Jan13,Jan,2013,Total,"  131,197 "
Feb13,Feb,2013,Low Income,"  61,219 "
Feb13,Feb,2013,TA,"  70,584 "
Feb13,Feb,2013,Total,"  131,803 "
Mar13,Mar,2013,Low Income,"  61,837 "
Mar13,Mar,2013,TA,"  69,249 "
Mar13,Mar,2013,Total,"  131,086 "
Apr13,Apr,2013,Low Income,"  62,483 "
Apr13,Apr,2013,TA,"  68,756 "
Apr13,Apr,2013,Total,"  131,239 "
