COUNTY,pop_under_14
Albany,47327
Allegany,7624
Bronx,290103
Broome,31370
Cattaraugus,13742
Cayuga,11943
Chautauqua,21464
Chemung,14389
Chenango,7896
Clinton,11886
Columbia,7746
Cortland,7078
Delaware,5778
Dutchess,44359
Erie,158684
Essex,4677
Franklin,7700
Fulton,8693
Genesee,9698
Greene,6370
Hamilton,525
Herkimer,9991
Jefferson,23774
Kings,502921
Lewis,5016
Livingston,8913
Madison,10227
Monroe,127251
Montgomery,9350
Nassau,244789
New York,194004
Niagara,34662
Oneida,40866
Onondaga,82094
Ontario,17833
Orange,84966
Orleans,6108
Oswego,19957
Otsego,7484
Putnam,15217
Queens,385819
Rensselaer,25275
Richmond,87618
Rockland,83177
St Lawrence,17676
Saratoga,37464
Schenectady,28456
Schoharie,4225
Schuyler,2736
Seneca,5636
Steuben,16535
Suffolk,258926
Sullivan,14004
Tioga,7966
Tompkins,12148
Ulster,25574
Warren,9543
Washington,9235
Wayne,15890
Westchester,174424
Wyoming,6082
Yates,4720
